position,title,link,authors,publications
1,Hyper-heuristics: A survey of the state of the art,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:5N-NJrZHaHcC,"EK Burke, M Gendreau, M Hyde, G Kendall, G Ochoa, E Özcan, R Qu","Journal of the Operational Research Society 64 (12), 1695-1724, 2013"
2,Hyper-heuristics: An emerging direction in modern search technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:u5HHmVD_uO8C,"E Burke, G Kendall, J Newall, E Hart, P Ross, S Schulenburg","Handbook of metaheuristics, 457-474, 2003"
3,Search methodologies: introductory tutorials in optimization and decision support techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:d1gkVwhDpl0C,"E Burke, EK Burke, G Kendall","Springer Verlag, 2005"
4,A hyperheuristic approach to scheduling a sales summit,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:9yKSN-GCB0IC,"P Cowling, G Kendall, E Soubeiga","Practice and Theory of Automated Timetabling III, 176-190, 2001"
5,A tabu-search hyperheuristic for timetabling and rostering,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:u-x6o8ySG0sC,"EK Burke, G Kendall, E Soubeiga","Journal of Heuristics 9 (6), 451-470, 2003"
6,A classification of hyper-heuristic approaches,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:UebtZRa9Y70C,"EK Burker, M Hyde, G Kendall, G Ochoa, E Özcan, JR Woodward","Handbook of Metaheuristics, 449-468, 2010"
7,Genetic algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Y0pCki6q_DkC,"K Sastry, D Goldberg, G Kendall","Search Methodologies, 97-125, 2005"
8,A new placement heuristic for the orthogonal stock-cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:VLnqNzywnoUC,"EK Burke, G Kendall, G Whitwell","Operations Research 52 (4), 655-671, 2004"
9,Diversity in genetic programming: An analysis of measures and correlation with fitness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:2osOgNQ5qMEC,"EK Burke, S Gustafson, G Kendall","Evolutionary Computation, IEEE Transactions on 8 (1), 47-62, 2004"
10,Scheduling in sports: An annotated bibliography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:YsMSGLbcyi4C,"G Kendall, S Knust, CC Ribeiro, S Urrutia","Computers & Operations Research 37 (1), 1-19, 2010"
11,Exploring hyper-heuristic methodologies with genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Wp0gIr-vW9MC,"EK Burke, MR Hyde, G Kendall, G Ochoa, E Ozcan, JR Woodward","Computational Intelligence, 177-201, 2009"
12,A new bottom-left-fill heuristic algorithm for the two-dimensional irregular packing problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:eQOLeE2rZwMC,"E Burke, R Hellier, G Kendall, G Whitwell","Operations Research, 587-601, 2006"
13,Complete and robust no-fit polygon generation for the irregular stock cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ZfRJV9d4-WMC,"EK Burke, RSR Hellier, G Kendall, G Whitwell","European Journal of Operational Research 179 (1), 27-49, 2007"
14,An investigation of a hyperheuristic genetic algorithm applied to a trainer scheduling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:zYLM7Y9cAGgC,"P Cowling, G Kendall, L Han","Proceedings of the 2002 Congress on Evolutionary Computation. CEC'02 (Cat …, 2002"
15,Hyflex: A benchmark framework for cross-domain heuristic search,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:PELIpwtuRlgC,"G Ochoa, M Hyde, T Curtois, JA Vazquez-Rodriguez, J Walker, ...","European conference on evolutionary computation in combinatorial …, 2012"
16,A survey of NP-complete puzzles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Zph67rFs4hoC,"G Kendall, A Parkes, K Spoerer","ICGA Journal 31 (1), 13-34, 2008"
17,Evolving bin packing heuristics with genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:W7OEmFMy1HYC,"E Burke, M Hyde, G Kendall","Parallel Problem Solving from Nature-PPSN IX, 860-869, 2006"
18,A learning-guided multi-objective evolutionary algorithm for constrained portfolio optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:lgwcVrK6X84C,"K Lwin, R Qu, G Kendall","Applied Soft Computing 24, 757-772, 2014"
19,Evolutionary computation and games,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Tyk-4Ss8FVUC,"SM Lucas, G Kendall","IEEE Computational Intelligence Magazine 1 (1), 10-18, 2006"
20,A genetic programming hyper-heuristic approach for evolving 2-D strip packing heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:bEWYMUwI8FkC,"EK Burke, M Hyde, G Kendall, J Woodward","IEEE Transactions on Evolutionary Computation 14 (6), 942-958, 2010"
21,A monte carlo hyper-heuristic to optimise component placement sequencing for multi head placement machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:LkGwnXOMwfcC,"M Ayob, G Kendall","Proceedings of the international conference on intelligent technologies …, 2003"
22,A tabu search hyper-heuristic approach to the examination timetabling problem at the MARA university of technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Se3iqnhoufwC,"G Kendall, N Hussin","Practice and Theory of Automated Timetabling V, 270-293, 2005"
23,Tabu search hyper-heuristic approach to the examination timetabling problem at University Technology MARA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:Tiz5es2fbqcC,"G Kendall, NM Hussin","PATAT, 199-217, 2004"
24,Hyperheuristics: A tool for rapid prototyping in scheduling and optimisation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:WF5omc3nYNoC,"P Cowling, G Kendall, E Soubeiga","Applications of Evolutionary Computing, 269-287, 2002"
25,Automatic heuristic generation with genetic programming: evolving a jack-of-all-trades or a master of one,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:hqOjcs7Dif8C,"EK Burke, MR Hyde, G Kendall, J Woodward","Proceedings of the 9th annual conference on Genetic and evolutionary …, 2007"
26,A survey and analysis of diversity measures in genetic programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:IjCSPb-OGe4C,"E Burke, S Gustafson, G Kendall","Proceedings of the Genetic and Evolutionary Computation Conference, 716-723, 2002"
27,A honey-bee mating optimization algorithm for educational timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:UHK10RUVsp4C,"NR Sabar, M Ayob, G Kendall, R Qu","European Journal of Operational Research 216 (3), 533-543, 2012"
28,The iterated prisoners' dilemma: 20 years on,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:3fE2CSJIrl8C,"G Kendall, X Yao, SY Chong","World Scientific Pub Co Inc, 2007"
29,A graph coloring constructive hyper-heuristic for examination timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:j8SEvjWlNXcC,"NR Sabar, M Ayob, R Qu, G Kendall","Applied Intelligence 37 (1), 1-11, 2012"
30,An investigation of automated planograms using a simulated annealing based hyper-heuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:0EnyYjriUFMC,"R Bai, G Kendall","Metaheuristics: Progress as Real Problem Solver-(Operations Research …, 2005"
31,A hybrid evolutionary approach to the nurse rostering problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:zA6iFVUQeVQC,"R Bai, EK Burke, G Kendall, J Li, B McCollum","IEEE Transactions on Evolutionary Computation 14 (4), 580-590, 2010"
32,A dynamic multiarmed bandit-gene expression programming hyper-heuristic for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:sJsF-0ZLhtgC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE transactions on cybernetics 45 (2), 217-228, 2014"
33,A simulated annealing enhancement of the best-fit heuristic for the orthogonal stock-cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ULOm3_A8WrAC,"EK Burke, G Kendall, G Whitwell","INFORMS Journal on Computing 21 (3), 505-516, 2009"
34,A classification of hyper-heuristic approaches: revisited,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:f13iAvnbnnYC,"EK Burke, MR Hyde, G Kendall, G Ochoa, E Özcan, JR Woodward","Handbook of metaheuristics, 453-477, 2019"
35,A survey of surface mount device placement machine optimisation: machine classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:CHSYGLWDkRkC,"M Ayob, G Kendall","European Journal of Operational Research 164, 609-626, 2005"
36,Evolving collective behavior in an artificial ecology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:ufrVoPGSRksC,"CR Ward, F Gobet, G Kendall","Artificial Life 7 (2), 191-209, 2001"
37,Automatic design of a hyper-heuristic framework with gene expression programming for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:F1b5ZUV5XREC,"NR Sabar, M Ayob, G Kendall, R Qu","IEEE Transactions on Evolutionary Computation 19 (3), 309-325, 2014"
38,A model for fresh produce shelf-space allocation and inventory management with freshness-condition-dependent demand,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:4JMBOYKVnBMC,"R Bai, G Kendall","INFORMS Journal on Computing 20 (1), 78, 2010"
39,Choice function and random hyperheuristics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VjJm3zYAAAAJ&pagesize=100&citation_for_view=VjJm3zYAAAAJ:kNdYIx-mwKoC,"G Kendall, E Soubeiga, P Cowling","Proceedings of the fourth Asia-Pacific Conference on Simulated Evolution And …, 2002"
